timestamp,SPY_Open,SPY_High,SPY_Low,SPY_Close,SPY_Volume,QQQ_Open,QQQ_High,QQQ_Low,QQQ_Close,QQQ_Volume
2025-03-20 12:50:00+00:00,565.73,566.5399,565.61,566.49,338317.0,478.87,479.82,478.785,479.76,242075.0
2025-03-20 12:55:00+00:00,566.5,566.67,565.7,565.87,276741.0,479.77,479.99,478.9,479.11,263713.0
2025-03-20 13:00:00+00:00,565.86,566.4499,565.7882,566.43,386752.0,479.125,479.77,478.98,479.77,257881.0
2025-03-20 13:05:00+00:00,566.44,567.21,566.385,567.09,459909.0,479.79,480.7,479.71,480.49,568253.0
2025-03-20 13:10:00+00:00,567.08,567.21,566.635,566.9148,244207.0,480.49,480.675,479.94,480.31,344412.0
2025-03-20 13:15:00+00:00,566.9251,566.9755,566.23,566.635,166827.0,480.32,480.37,479.52,479.9603,187579.0
2025-03-20 13:20:00+00:00,566.635,566.69,565.62,565.7,281703.0,480.0,480.03,478.9825,479.075,218746.0
2025-03-20 13:25:00+00:00,565.69,565.8501,564.7,564.7493,622844.0,479.09,479.26,478.06,478.06,382158.0
2025-03-20 13:30:00+00:00,564.75,565.7,564.66,565.425,662490.0,478.07,479.0535,477.95,478.75,436919.0
2025-03-20 13:35:00+00:00,565.4,565.96,565.04,565.88,349564.0,478.69,479.28,478.31,479.2,218484.0
2025-03-20 13:40:00+00:00,565.86,565.95,565.34,565.92,514507.0,479.19,479.3388,478.68,479.28,154446.0
2025-03-20 13:45:00+00:00,565.87,569.3567,565.7231,565.8691,432643.0,479.27,479.85,478.96,479.18,262072.0
2025-03-20 13:50:00+00:00,565.87,565.95,565.17,565.2,364773.0,479.14,479.21,478.5,478.51,1500861.0
2025-03-20 13:55:00+00:00,565.2,565.39,564.8,565.16,374734.0,478.5101,478.68,478.18,478.49,383983.0
2025-03-20 14:00:00+00:00,565.19,565.57,565.09,565.34,318311.0,478.52,479.1,478.42,478.87,304935.0
2025-03-20 14:05:00+00:00,565.31,565.68,565.17,565.52,348024.0,478.87,479.26,478.74,479.005,277446.0
2025-03-20 14:10:00+00:00,565.51,566.2,565.4901,565.69,536828.0,479.01,479.69,479.01,479.2001,541617.0
2025-03-20 14:15:00+00:00,565.7,565.94,565.561,565.61,404285.0,479.14,479.45,479.08,479.08,164214.0
2025-03-20 14:20:00+00:00,565.54,565.58,564.82,565.05,417424.0,479.01,479.0101,478.13,478.53,463065.0
2025-03-20 14:25:00+00:00,565.09,565.14,564.04,564.12,1429854.0,478.52,478.62,477.43,477.53,491316.0
2025-03-20 14:30:00+00:00,564.12,564.21,563.7703,563.97,586209.0,477.5,477.66,477.24,477.38,572149.0
2025-03-20 14:35:00+00:00,563.97,564.83,563.97,564.64,699945.0,477.36,478.34,477.36,478.17,485676.0
2025-03-20 14:40:00+00:00,564.64,564.73,564.025,564.14,478851.0,478.17,478.2,477.47,477.5798,452373.0
2025-03-20 14:45:00+00:00,564.15,564.9,564.06,564.88,569510.0,477.57,478.37,477.5,478.3201,414691.0
2025-03-20 14:50:00+00:00,564.86,565.88,564.83,565.79,599140.0,478.34,479.31,478.3,479.21,508983.0
2025-03-20 14:55:00+00:00,565.8,565.89,564.3251,564.45,832123.0,479.24,479.31,477.66,477.79,511557.0
2025-03-20 15:00:00+00:00,564.451,565.45,564.38,565.055,430824.0,477.78,478.82,477.71,478.5,415273.0
2025-03-20 15:05:00+00:00,565.05,565.51,564.84,564.94,469051.0,478.5088,478.93,478.36,478.44,187439.0
2025-03-20 15:10:00+00:00,564.93,565.62,564.825,565.27,718160.0,478.42,478.93,478.325,478.59,258843.0
2025-03-20 15:15:00+00:00,565.26,565.8748,565.1502,565.7023,432089.0,478.59,479.2797,478.52,479.06,249729.0
2025-03-20 15:20:00+00:00,565.71,566.3187,565.68,566.04,978961.0,479.06,479.7,479.06,479.33,768706.0
2025-03-20 15:25:00+00:00,566.08,566.09,564.58,564.67,820282.0,479.39,479.39,478.0,478.07,330770.0
2025-03-20 15:30:00+00:00,564.67,565.53,564.67,565.18,731298.0,478.14,478.9639,478.13,478.64,363630.0
2025-03-20 15:35:00+00:00,565.14,565.83,565.05,565.28,583517.0,478.51,479.3,478.49,478.79,514099.0
2025-03-20 15:40:00+00:00,565.25,565.9,565.2,565.86,1193092.0,478.77,479.48,478.75,479.4799,326611.0
2025-03-20 15:45:00+00:00,565.86,566.52,565.83,566.49,1147375.0,479.45,480.21,479.42,480.0799,686091.0
2025-03-20 15:50:00+00:00,566.47,566.47,565.42,565.76,1486811.0,480.06,480.06,478.92,479.15,512376.0
2025-03-20 15:55:00+00:00,565.77,566.68,565.28,565.68,4004297.0,479.18,480.19,479.06,479.29,1045783.0
2025-03-20 16:00:00+00:00,565.69,565.96,565.49,565.87,242841.0,479.28,479.79,479.21,479.65,62829.0
2025-03-21 09:30:00+00:00,559.28,560.135,558.69,559.59,2932518.0,474.08,475.4,473.3,474.04,1451513.0
2025-03-21 09:35:00+00:00,559.57,559.62,558.27,558.91,1172642.0,474.03,474.11,472.905,473.57,727602.0
2025-03-21 09:40:00+00:00,558.92,560.28,558.7,559.57,1062391.0,473.53,475.18,473.34,474.69,734935.0
2025-03-21 09:45:00+00:00,559.69,560.11,559.18,559.75,1242751.0,474.75,475.55,474.23,475.275,614508.0
2025-03-21 09:50:00+00:00,559.75,560.23,558.71,559.73,555636.0,475.2,476.08,474.56,475.6,815637.0
